"path","title","sha256","repository_state","role","status","active_entry","replacement","privacy","suggested_disposition","processing_state","classification_basis","local_link_count","missing_local_links"
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-assets.md","访谈追问评估机器资产规范","d793aec220a3effedb9eb219e18980dfbbc99bce1d37f0230d06937610e84e73","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","2",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-candidate-intake-template.md","访谈追问评估候选样本 Intake 模板","8efe512206b45e38aa327efca06ca4da99fc30e4b135f5c1d2be2984543ea95e","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1-closeout.md","Official Set v1 Batch 1 Closeout","e7c3515a6e515723604e94ca488a33e6ab0e66e363782427a688cc17685346c4","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1-execution-note.md","访谈追问评估 Official Set v1 Batch 1 执行说明","8f37f24d12702dc9ff04ae9aba773aa87866a540d543adc790bd58d1a2bacc7e","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","1",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1-lock-manifest.md","Interview Question Eval Official Set v1 Batch 1 Lock Manifest","91d2a49e9ba4eca426af8cdda0d4c5159fc87487f4ea212d59397118e817da25","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1-official-slice.md","Official Set v1 Batch 1 Official Slice","7301cae4a08b3b860039ea53098fcf98f35c1ef98c0d0c98197154bbdbb4279d","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1-selection-note.md","访谈追问评估 Official Set v1 Batch 1 筛选说明","d94aa204fa07467b80207518ac20f33997d6f058a097029476ade1976c2ea091","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1-template.md","Interview Question Eval Official Set v1 Batch 1 Template","83978cfe5972d1f0cfc6f4b03d6b3eeb991a6e0c4f6620c504bc851b36e83474","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1a-annotator-a.md","Official Set v1 Batch 1A 首轮标注结果（Annotator A）","4c03bbc3388ac8ac51f1aacee6ca1fed7fcc617df31a1931dc25e414e5ecda2f","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1a-annotator-b.md","访谈追问评估 Official Set v1 Batch 1A 标注结果 B","5c834008e0bc6f02fafb38d6393ed85ebbe9931ac6a5f73e4f0794eb405c8c84","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1a-disagreement-report.md","Official Set v1 Batch 1A 差异审查报告","f3cb2e67793749ae47111875b854f30030c9214462468c2ccea1afec9a652f14","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1a-lock.md","访谈追问评估 Official Set v1 Batch 1A 锁样清单","08d4586b6978b2528d0b74cfa8269b331c73b56b46adbfd285783cb14d801077","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1b-annotator-a.md","Official Set v1 Batch 1B 首轮标注结果（Annotator A）","17cb973850eb5564b1f6376fbffc3358b942772f996536f850200024eb37ee91","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1b-annotator-b.md","访谈追问评估 Official Set v1 Batch 1B 标注结果 B","8244804c90dc9c36fe007d865291be977dfd0f19417d4203da0b44f8e6b6eac0","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1b-disagreement-report.md","Official Set v1 Batch 1B 差异审查报告","9bf46eca172b205bd4deaeaf03e263c7c0d9af584010f29c25b2d0aeeef4a372","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1b-lock.md","访谈追问评估 Official Set v1 Batch 1B 锁样清单","f344e8c4066ea9fda5054852cb108e77e704f1b616ca67ebb7fff4691cb226c0","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1c-annotator-a.md","Official Set v1 Batch 1C 首轮标注结果（Annotator A）","3855f80949e5bc16f670a9a77d16b8f067df1313b5e39be39eaa6559d18a438a","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1c-annotator-b.md","Official Set v1 Batch 1C Annotator B","88346ee26dccbc64102b88a4150301c4d695577e138b454573f225b0b926fdb7","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1c-disagreement-report.md","Official Set v1 Batch 1C 差异审查报告","f92eb2283239f43f890e991a8377370fab9cce6b46d2fe387d5847eae0620c72","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1c-lock.md","访谈追问评估 Official Set v1 Batch 1C 锁样清单","fbfb0115b50957c1682d142f28d900e30a710aea166ad1ea762230b37a5ac6b5","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-batch1c-postfix-review.md","Official Set v1 Batch 1C 修后复核","a01c0682f55a099be89e1cf18e09a5fbb50837957dc3abef102630384707df71","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-candidate-pool-plan.md","访谈追问评估 official set v1 candidate pool 执行方案","48c58894d166db5b325c8eb17c91027d8735cc9b932c17a525c00edd360204e6","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
".worktrees/model-eval-metrics-discussion/docs/evals/interview-question-eval-official-set-v1-candidate-pool.md","访谈追问评估 Official Set v1 候选池","91e4a091279e47149ede6f4b31246504c8d3f1b01187e35bc0613a7dd6d90b93","本地忽略","隔离成果","待确认","本地隔离成果；尚未接入主仓导航","","本地隔离成果","需人工判断","保持原位","目录与包级规则推断","0",""
