"path","total_files","tracked_files","markdown_files","private_files_aggregate","index_path","role","status","active_entry","replacement","privacy","suggested_disposition","reason"
"artifacts/ai-evaluation-governance","1","1","1","0","","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/daily-light-visual-review","84","84","6","0","artifacts/daily-light-visual-review/README.md","网页端证据索引","现役","docs/vercel-preview-production-lane.md","","公开证据","保留","区分当前验收与发布证据、历史视觉候选和 No-Go"
"artifacts/daily-light-visual-review/2026-08-12","19","19","1","0","artifacts/daily-light-visual-review/2026-08-12/README.md","历史视觉证据包","历史证据","artifacts/README.md","artifacts/daily-light-visual-review/2026-08-13-production-release/README.md","公开证据","转历史（原位）","由第二轮验收与 Production 发布证据覆盖当前状态职责"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement","15","15","0","0","","历史视觉证据包","历史证据","artifacts/README.md","artifacts/daily-light-visual-review/2026-08-13-production-release/README.md","公开证据","转历史（原位）","由第二轮验收与 Production 发布证据覆盖当前状态职责"
"artifacts/daily-light-visual-review/2026-08-13-full-system-redesign","18","18","1","0","artifacts/daily-light-visual-review/2026-08-13-full-system-redesign/README.md","历史视觉证据包","历史证据","artifacts/README.md","artifacts/daily-light-visual-review/2026-08-13-production-release/README.md","公开证据","转历史（原位）","由第二轮验收与 Production 发布证据覆盖当前状态职责"
"artifacts/daily-light-visual-review/2026-08-13-production-release","1","1","1","0","artifacts/daily-light-visual-review/2026-08-13-production-release/README.md","Production 发布证据包","已完成","docs/vercel-preview-production-lane.md","","公开证据","保留","当前 Production 版本身份、迁移和回退证据"
"artifacts/daily-light-visual-review/2026-08-13-production-typography-color","15","15","1","0","artifacts/daily-light-visual-review/2026-08-13-production-typography-color/README.md","历史视觉证据包","历史证据","artifacts/README.md","artifacts/daily-light-visual-review/2026-08-13-production-release/README.md","公开证据","转历史（原位）","由第二轮验收与 Production 发布证据覆盖当前状态职责"
"artifacts/daily-light-visual-review/2026-08-13-second-round-closeout","15","15","1","0","artifacts/daily-light-visual-review/2026-08-13-second-round-closeout/README.md","产品验收证据包","已完成","artifacts/daily-light-visual-review/2026-08-13-production-release/README.md","","公开证据","保留","当前 Production 上游视觉与交互验收基线"
"artifacts/generative-interview-board6","538","75","29","463","artifacts/generative-interview-board6/README.md","当前评测证据索引","现役","docs/generative-interview-refactor-map.md","","公开脱敏＋私有聚合","保留","Board 6 当前入口已统一指向 GI-088 阶段 C3"
"artifacts/generative-interview-board6/2026-08-06","4","4","4","0","artifacts/generative-interview-board6/2026-08-06/README.md","证据包","历史证据","artifacts/README.md","","公开证据","保留","保留唯一证据或包级索引；当前不移动"
"artifacts/generative-interview-board6/2026-08-13-gi088-dual-track-v1","533","70","24","463","artifacts/generative-interview-board6/2026-08-13-gi088-dual-track-v1/README.md","当前证据包","现役","docs/generative-interview-refactor-map.md","","公开脱敏＋私有聚合","保留","GI-088 阶段 C3 当前证据入口"
"artifacts/generative-interview-board7","856","856","502","0","artifacts/generative-interview-board7/README.md","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-07-28","274","274","150","0","","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-07-29","210","210","139","0","","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-07-30","100","100","58","0","","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-01","38","38","20","0","","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-02","30","30","10","0","","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
"artifacts/generative-interview-board7/2026-08-06-board7a-chat-e2e-ab-v1","2","2","2","0","","历史证据包","历史证据","artifacts/generative-interview-board7/README.md","docs/generative-interview-refactor-map.md","公开脱敏证据","保留","保留候选血缘、原始结果、真人裁决和版本身份"
