"path","status","sha256","local_checkpoint","lineage","material_class","privacy","suggested_disposition","recovery_or_risk"
".env.example","M","cb028907d038c103da4c6ce2c35df4ebed5ee2be09ee0fa5ec1b5190d14291f7","a13ed6c","2026-08-12 当前开发血缘","环境合同","公开工作区","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
".env.preview.example","M","14ddea8d4f5d61abc22899065fe919aeb8e65259b0500919261dc3b9e3f90921","a13ed6c","当前开发血缘：后续增量","环境合同","公开工作区","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
".env.production.example","M","a21487cf3d13f27851dfd9eb899894f1797e9367042d7e2385387fd576002188","a13ed6c","当前开发血缘：后续增量","环境合同","公开工作区","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
".vercelignore","M","4e50ef8e19ba9b31250435128b90d71521feebc6ef737fe4ec9c9c677b59305b","07326c7","2026-08-12 当前开发血缘","工程配置","公开工作区","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"AGENTS.md","M ","3a6672f2572c6e1baa4722755058fc4c23d1774a759f00ff64d3eb3235d6f637","本治理记录所在提交","文档治理","文档治理","公开工作区","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1024-chat.png","A","60f07db75f30e4bde29871c2a2a661c20bf9174b496bd6d14c447f93c8bb1f6e","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1024-day-sidebar-preview-v2.png","A","27e0fa6fd4568262566f1632feef362566fbc67c8019912aa56491ae1f636712","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1024-day.png","A","bb9c3c0a830349829ea3f0f8ee2759fbae3a5ee3d32522a21e50ace190fe3046","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1024-month.png","A","b890c47b8f2827087c437d3315ed826f5ea0dce8439d5631e99e5eca24ad69d5","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1024-sidebar-input-preview-v2.png","A","6da040eab57a89f2de28e2d64c251c7e2a21d716af22ca45759bbfc22b514445","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1024-start.png","A","ec61ef9a891c01f290dd081542be7c85229c87a47e53578a4bf98cd581fcef33","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1024-week.png","A","237ae760a872ff590562127d5eda52fbd39c86db7c634347138167f06247bb6c","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1440-chat.png","A","1658f93467e2c248c9493f17861a75e4b95ed849bea8d1ed2216a0b634d6bc01","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1440-complete.png","A","bce96177305bae310b8fbf8a63970a48bcf4ede088649f1e6016827028b3846d","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1440-day.png","A","dfb073746bf846279a8e8ae332acfc726216567f39fb0766a39eb29df94b0ed8","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1440-month.png","A","fc8ae2bdcbe7bf74931d5275431e87f2ad8a897536087797e03ecd4a2c7b2ecf","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1440-sidebar-input-preview-v2.png","A","737f53de104afde4e01326169e4a875967fedd39c7f454e204c878cf84421087","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
"artifacts/daily-light-visual-review/2026-08-12-production-replacement/1440-start.png","A","cf2bc4424dbca74e8cab4a647973a0b82af378b7d0d389823e1ad2d1148cc15b","ed8c36d","当前开发血缘：后续增量","证据","公开脱敏或运行证据","本轮提交：本地阶段检查点","已纳入本地提交；恢复时按检查点版本回退或取回"
